reviewIndex,encodedSenderId,encodedTargetId,reviewContent,reviewRate,reviewType,DateTime
0,b27f34c92846ffaf2f0b8fc291cac4b1cac960a203ddc464e403d8a909c35dce,010888599cdc77a13e41ad8f8b7be2ea80dcdb041835eac94e7ae8d96329e520,"돌보시다가 시간이 맞지 않으셨는지 곧 그만두신 다 하셨습니다. 일하시다 불만족스러운 신 부분을 나름 조율해 드리려 했으나, 다른 조건 조율 과정 없이 바로 그만두시겠다 하셔서 워킹맘 입장에서 매우 난처했습니다.",1,recruitReview,2020/01/05 13:11
1,182bcf70606e5dfc7033f98c488b996e2218b32c2cf6b3c2a6d0fc859be041a7,e8129dd9536733ab5684da1a90bc9b8e6c40b2d716c9a537dda5e128ca54eff4,자신감을 갖고 아기에게 다가간다면 거 좋을 것 같아요. 파이팅 하세요~~,3,recruitReview,2020/01/07 1:39
2,cc41ef0f0fac5c8397c3e30a5e3a452e788b9b7bed146b0ef06b9c1170e2f770,f9c5389924cad44f03f9224dd40caa65c910be75a1a7282139670753c427b92f,어리지만 아이의의 산 표현이 확실해요 아이가 20-30대 시터를 좋아한다고 합니다. 어머님께서 잘해주셔지만 아쉬웠어요,3,recruitReview,2020/01/05 15:55
3,da9939786d4ed600742bf3a9406d86bb4f1447171421b5f2ef9cd0f1886b80c6,18201b6a48794a583f07e54cdc8fe219e4fcb21e3d907cf8114cae8c317022d1,사정이 있어서 아쉽게도 함께 하지 못했네요,3,recruitReview,2020/01/11 13:01
4,4174f3b06fd849278d0f0cda937ce4f6d77636e58dc1658494d9fe6c972c44d0,a04ed55bac3e919573b9102965149284436919bb86e5598f946b1ca9c8a4cdab,전화 인터뷰 때 그리고 저희 집에 오신 첫날에 정기적으로 오셨으면 좋겠다고 사 전에 말씀드렸었었고 2월 말에 이사하는 곳도 오실 수 있는지 여쭤보았었고 이에 동의하였습니다. 두 번째 오시기로 한 날 독감 걸리셨다고 하셔서 오실 수 없다고 하여 이 부분에 대해 이해하였고 완 쾌 후 오실 수 있는지 문의드리니 2월에 시험이 있어서 불가능하다고 하셔서 황당했습니다,1,recruitReview,2020/01/08 18:04
5,b70f5e6a492dc865ade427a7c5ce90562291fb2773aa2b14563d60fbf4c00e14,931496d0888518787c2dd35807d83c8299fc32ee32d1ace4cb6606b56f619bc8,면접도 보고 앞에 계셨던 이 모와 인수인계 2일 하고 난 뒤 정식으로 오기로 한 날 전날 밤에 일방적으로 약속을 취소했습니다. (그것도 메시지 한 통 덜렁...) 그로 인하여 좋은 분들 다 놓치고 제 일 정도 모두 펑크가 났습니다. 심지어 맘시터도 고용된 걸로 되어 서비스가 종료되었었습니다. 이만저만 속상한 게 아니네요. 며칠간 들어간 저의 시간과 돈이 아깝습니다 .. 이쪽 일을 안 해보아 매우 서툴 게 일을 했으나 정직하고 성실해 보이셔서 장기간 생각하고 채용을 결심했었는데 그냥 제가 사람 보는 눈이 없었다 생각하며 마음을 추스르려 합니다.,1,recruitReview,2020/01/09 4:28
6,a08aac39fd9b39898668806d8d503fbac61c793d0bfd4a37c0b84bd5405667ea,71270de6a4be823404df9a8bd3848d19c64265e73e09b5c28163b50d4774372a,성실하게 잘 돌봐주셨습니다 좋은 분들 만나서 또 잘 일하셨으면 좋겠어요,3,recruitReview,2020/01/15 21:19
7,a75bad45bda0c25434763af9360023d2402cff7a77ab159c5995071d9d09f33d,73cf260f7607a54e4d4d440f803c388af9eef9ecdd55179b6ba63e4c8f563132,시간이 맞지를 않아서 아쉽게 불발이 되었네요 다음 기회에 닿는다면 더 좋은 인연이 되길 바라겠습니다,3,recruitReview,2020/01/07 16:12
8,188999ae0dfbe742f05dc22bf6d44976196c397a3b9760e89d36f4911875600e,02474e2b3cc886a94c098021fb06c4e63b85fa2d0045398b5f9278d2e3ba9613,몸이 빨리 낫기를 바레 요 좀 아기 보는 게 서툴지만 최선을 다하시네요,3,recruitReview,2020/01/08 17:57
9,65ac67d35c551a01cd99d0e96c8e42765c28dd9c836a95e22ec124aa8cd68135,65d291b4e0e3c04347d4182d31cdaf49c325e8ad3843dd8d515b9a32f6b98d27,열정은 가득했으나 두 아이를 케어 하긴 역부족이셨어요. 못하시겠다고 당일 밤에 톡으로 이야기하셔서 직장 맘으로써 충격적이었죠. 고생하셨습니다.,3,recruitReview,2020/01/11 1:21
10,a99bf95c47606c2f7d357589c9050df7d284d7167ca096321699f05d44a0dc30,b7e7ce809c8081d0880e06b875d0d0f089b028bb015e25c47aa3c86306851b18,31일 말 일날 봐주시기로 하고 연락도 없이 오지도 않으시고 전화도 없더니 제가 문자 보내니 문자로 답변이 아파서 잊어버렸다고 하시더군 요 본인도 아프셨지만 저희 아이들도 아프고 어린이집도 못 가고 집에선 맨붕이었네요 참 무책임하시네요,1,recruitReview,2020/01/01 18:42
11,559d8b2d1c3d7a7cfb433b9a6cbbf6e2db6b8728c96a6f0d9208910019e768d4,191f16f72dc12513fba0921ec6c29c01f20cbbe4eae3bf45311eb9eb123afb9d,아이를 돌 본 지 10분 만에 아이가 선생님을 별로 안 좋아하는 거 같다며 저를 집으로 다시 돌려보내셨습니다.,1,recruitReview,2020/01/07 18:41
12,8bf15505340cb8f3ff8f0c3cc0898831fdaea2931ebb44057bf4560f6bf46d23,aef5edfafa656b94591d14261499c730f47ecbb1c4c02b60544725a97ac7d36d,"차분하게 아이랑 잘 놀아주셔서 감사합니다. 갑자기 독감에 걸리셔서 하루 밖에 같이 못 보낸 게 아쉽습니다. 건강 회복 잘 하시고, 다음번에 기회가 되면 또 뵙겠습니다.",3,recruitReview,2020/01/09 14:17
13,98921ff9d8005d71819e4dd3abba8d0483025c5630f0ea1672a71cf352ef4e9f,fdf02fc1b8cc669fe5f94da5724ce641461017b15956549a5f8191b494749785,아기가 낯을 너무 가려서 아이를 돌보기 너무 힘든 상황이었습니다. 할머님이 계시는데 할머니께서 아이를 다 봐주시면서 아이를 저랑 빨리 친해지라고 하셨지만 절대 불가능한 상황이었네요 ㅠ!!,1,recruitReview,2020/01/03 12:23
14,84d90c73581e4e142a3a4fdf30370c6f64f8162ee2af40b716c637e206b1e88f,e48c438ac0b9dc4f7a62d576d919dbad3e8bf3139a2d378ba425b64728b11284,아이들과 잘 놀아 주었어요 시간 약속 잘 지켰고 성실했어요,3,recruitReview,2020/01/04 8:32
15,598a2b28f05f9c6256e340d71404ed05bdf9f3c71aa19d1620e86c4d84b43e62,85088a9986e87e109479058b6fc0286b0e08ce6831622c4ac0f489b9049fa712,시간이 맞지 않아 채용하지 못하였습니다,3,recruitReview,2020/01/07 1:52
16,a8cf4defbaac4532d746160430f63dc1a1dc1674d96dbd4512aa651cc8a04634,a8c8bd1f402b63091ed7a089e9b060b0e12f4c7f0ae27001f27654125a2f0dd8,차분하게 아이와 잘 지냈습니다. 간식도 챙겨주고 아이와 대화도 잘 한 듯이,3,recruitReview,2020/01/09 1:18
17,883531dc961c36b72a2b269abb8a1f1a6cffc3cdded2e95a166b758166045efd,59eb5ff329c7793a4e84841a17b61ba1de48f2fb171b4dd188badae60f6ed8f9,남자아이가 낯가림 없이 잘 따라 좋았고 상황이 어쩔 수 없어 그만두었지만 조금만 아이와 친해지면 잘 따르는 성향입니다. 부부 내외도 잘해 주시고 편안한 분 이였습니다.,2,recruitReview,2020/01/22 11:14
18,dddc48bc5bf96ca3d17469467a560825fe8af78dd92b5a20adb5c6c39b5a148c,1d96358b382bbabf42a40f7711c3eeb43351056e6bfd6f2f91cd1b14a0e939c7,12개월 아기를 돌봐주시기엔 경험이 부족하신 것 같아 아쉽습니다.,3,recruitReview,2020/01/02 20:50
19,26571cbc57a321f028b8ab56b02ca4fcc62c69c6efd29e8dbe1a6d9814f1da1a,b8fe5bb132066db065b1fb1d82cacf36668401f22319cc77e136baa31af1cfcb,저를 지 명 지원해주셔서 서 주 5회 5시간 원하는 걸로 알고. 승낙했으나 주 3회로 3시간으로 바꾸시고 아이가 입원했다 하여 십여 일을 기 다려드렸고 언어치료로 아이가 예민해져 있다 하여 한 주 또 빼먹고 오라 하시더니 결국 4개월 된 동생을 맡길 분다 실 찾겠다며 문자 한 통 보내주시네요 ㅜ 이래저래 주말 끼고 거의 한 달 정도 시터 시간을 소모하셨습니다 고작 하루 일했네요 기다리고 또 기다 리고 ...ㅜㅜ에 구 저한테 지원해줬다는 의리로 너무 기다려드렸네요... 시터의 시간을 소중히 생각해주지 않는 분들이셨어요 필요한 때에 문자나 연락도 잘 안됩니다 ㅎㅎ 그쪽에서 필요할 때만 연락 주셨어요 그리고 할머님과 아이 엄마와 모두 함께 돌봐야 하며 아이가 남아라 적여 있었으나 여아였답니다... (참고) 다음 시터 분은 고용계약서 필히 지 참해서 첫날부터 적 고 시작한 셔야 할 듯합니다,2,recruitReview,2020/01/07 6:28
20,f76331f1d85ecac5b1823b12d3fd03b12bac0fb0d34c868e563963cbc71371ce,a57c4278e95fab79ada09482eb64f7bd8190bad80804e3572aeadc8996144f3f,며칠 봐주시다가 연락이 닿지 않았습니다.,3,recruitReview,2020/01/17 15:24
21,c3040ecb46fc69fb22a5a88e0d1b4a4e596ca3f3762ccbdaf612569c472d6719,32c1272a1fab54126e4a47ae6e7ff8d21d9b79ce232cf57befeffaa8b575f73e,이 분과 매칭이 되어 일 시작 날짜까지 잡아 저희는 아이 등원에 대한 걱정을 놓았다며 기 뻐하고 만 있었는데 갑자기 전에 면접 봤던 데서 연락이 와 못하게 됐다며 문자로 통보(?) ㅜㅜ를 주시 더군요.. 다른 일도 아니고.. 아이를 돌봐주는 일인데.. 너무 화가 나네요. 아이를 데리고 출근해야 하나요 ㅠㅠ 이런 상황이 생기는 걸 차단하고 싶어 아이를 키우신 분들을 대상으로 컨 택한 건데 하.. 참.. 너무 이기적인 마음이셨네요.,1,recruitReview,2020/01/03 20:22
22,c39c90b74a31fc4b70a412ef520d400615214dea7b8de6bcf632a65d30bf634f,1ed93b730c06d972b30d7590b23e92dc5857109af1821b5120fc7ef78ca853e0,낮에 낮잠을 자지 않는 아이를 2시간이나 강제로 재웠습니다. 6시간 도우미 신청을 했는데 2시간을 업고 안아서 재우 고 방에 들어가서 자게 만들고 덕분에 아이가 밤 12시까지 잠을 안자 더군요. 이유식도 먹여달라고 했는데 한 스푼도 안 먹여주고는 먹이려고 했는데 애가 안 먹어서 분유 먹였다고 거짓으로 보고를 하였습니다. 그리고 아이를 안고 수유를 해야 하는데 자 기 손이 아프다며 쿠션에 아이를 눕혀놓고 수유를 하더군요. 기 겁을 했습니다. 전 다신 맘시터 이용 안 할 겁니다.,1,recruitReview,2020/01/06 11:01
23,297e9dd385504d9b0335f38f143ba3e09e5cbb95913243af192fb036e51b5eea,c7f8c61c86e9a9172f566580355206f2a13cfc8c89e13e3daaa7a9ec0b9af48f,아이가 한 명이 아니었어요 아이가 여 럿이 걸 다시 공지하시면 좋을 것 같아요,2,recruitReview,2020/01/05 11:16
24,583192ffe22b883c292a122ae06b43db820a9f796b50ce131a836133b27d273f,b20d5e124c1acdcb60a81371b4fec5af56628175e27e0f77c0d9efe7655580f2,"시간 약속을 잘 지키셨으며 아이를 장난감으로 잘 놀아주셨습니다. 다만, 아기가 잘 때는 센스를 발휘해 주셨으면 하는 아쉬움 있어요",3,recruitReview,2020/01/05 23:23
25,ca11c2cb8870cef9bf2b1da4d2b85b52ad1aa4d0bc30e430c5a0f575bead4a96,04dc3fd03a8f0c861f1f8575849d3fc00839333280eeb0c42eedd1955d962a46,시간이 맞지 않아 연결은 안 되었어요~,3,recruitReview,2020/01/01 0:33
26,c72f3cd1b53108a672675761d91cf618d4ba2ccf0e2186542765d07e1c66f7dc,2ad383c0844163ca95e2b7f3a11087efd0f43b236502a1e5736b813c4ba13e87,"면접도 약속시간보다 한 시간 늦게 오시고, 그래도 채용하기로 하였으나 일 시작하기 하루 전에 갑자기 못하겠다고 문자로 얘기하셨습니다 약속을 잘 못 지키시는 분 같아 요 유감스럽습니다.",1,recruitReview,2020/01/08 11:12
27,dea846dac5a8e8140e19934f1e49194d2fe659464d8ec4cdb5e936cbb0c23859,87e4690a484fa7dd98af616f61d983bdf49a529a5fb0bf0dcdc13fea46bbacaa,"아이도 예쁘고, 낯가림도 거의 없었습니다. 부모님도 활동이 편리하도록 최대한 배려해 주셨습니다.",3,recruitReview,2020/01/01 11:08
28,192b1f7aa5d6b95b96bfad9fdf7ba074a7b0b71b5b9920767dd4f4396428c01e,9a853e91a90471cbf3ee85a0ac72b938121b49a5d806186a74b91bb39910048a,첫날 지각하였으나 사 전 늦는다는 말도 없었음. 둘째 날 아기와 놀아주는 방식을 아기 주도 적(아기 스스로 장난감 선택해 알아서 놀게 해도 되나 본인이 장난감 가지고 아기 주의를 끌고 놀아주는 것이 싫었음)로 바꿔달라 하였으나 본인 고집에 시키는 대로 하는 로봇이 아니라며 화를 냄. 아이 엄마 양육 방식과 다른데 엄마 입장에서 이 방식으로 해달라고 해도 따라주지 않아 시터에 부 적절하다고 사료됨.,1,recruitReview,2020/01/07 16:33
